LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,DaysPastDue,OriginalValue,CreditScore,Term,Mo_Term,Mo_Payment,Rem_Term,Seasoning,Bad
816,5551.21,23,452.35,0,6975,541,55,66,452.35,14,0.79,0
817,1021.36,20.38,415,0,4000,597,50,68,415.00,3,0.96,0
818,1674.76,20.34,500,65,7250,540,48,68,500.00,3,0.96,0
819,4022.58,20.35,480,3,6225,681,54,66,480.00,9,0.86,0
820,1497.34,20,427.75,4,13150,483,49,60,427.75,4,0.93,0
822,10055.43,16.85,250,922,9000,567,132,25,540.00,22,0.12,1
823,4650.69,23.99,370.32,48,5625,536,51,72,370.32,15,0.79,0
824,7810.69,21.99,390.24,0,8350,485,62,61,390.24,25,0.59,0
826,8802.77,23.02,494.77,0,8550,505,64,66,494.77,22,0.67,0
827,6430.21,23.99,416.58,2,7350,480,54,66,416.58,19,0.71,0
828,3249.16,23.82,575,448,12500,556,48,65,575.00,6,0.91,1
829,2662.92,20.99,377.9,3,8375,543,73,60,377.90,8,0.87,0
830,5787.43,18.8,361.47,78,9050,503,67,67,361.47,19,0.72,0
831,2659.16,21,276.05,0,7575,627,62,68,276.05,11,0.84,0
832,4372.21,18.74,336.66,0,8600,654,62,66,336.66,15,0.77,0
833,12860.05,19.5,626.75,8,13275,620,77,66,626.75,25,0.62,0
834,4421.17,22,364.69,97,9050,660,67,66,364.69,14,0.79,0
835,3786.25,18.74,324.92,0,8200,641,60,70,324.92,13,0.81,0
836,4336.74,18.74,374.07,0,10275,641,60,70,374.07,13,0.81,0
837,3495.74,18,343.83,0,10400,639,60,70,343.83,11,0.84,0
838,5972.73,22,164.88,0,5650,561,138,31,356.14,20,0.35,0
839,5154.62,23.6,354.19,0,7900,551,60,67,354.19,17,0.75,0
840,2057.03,24.99,220.56,75,7350,621,127,34,476.41,5,0.85,0
850,2154.51,21,435,0,7750,728,54,70,435.00,5,0.93,0
851,2474.83,21,406,0,6425,571,55,66,406.00,7,0.89,0
852,6721.97,21,436,32,10800,458,60,66,436.00,18,0.73,0
853,10198.17,21,490,31,5000,610,67,68,490.00,26,0.62,0
855,3746.89,21,435,0,6950,502,58,66,435.00,9,0.86,0
856,3158.48,27.92,162.96,579,2925,503,80,33,351.99,10,0.70,1
857,5338.9,17.5,316.32,1,7900,546,62,66,316.32,20,0.70,0
858,14143.87,17.79,622.07,1082,14900,698,48,68,622.07,28,0.59,1
859,1000.5,21,355,0,7000,611,60,54,355.00,3,0.94,0
860,2580.75,21,341,0,3650,551,60,66,341.00,8,0.88,0
861,6669.92,21,423,0,8125,566,61,70,423.00,19,0.73,0
862,1524.05,27.92,141.52,76,3350,546,90,31,305.68,5,0.84,0
863,12554.49,18.5,497.48,0,14000,613,69,67,497.48,32,0.52,0
864,10968.19,18,469.55,0,13275,449,66,67,469.55,29,0.57,0
865,7944.57,17.49,307.48,0,8750,658,72,66,307.48,33,0.50,0
866,17433.18,18,494.52,107,11750,574,73,73,494.52,51,0.30,0
867,14369.8,18.01,530,1066,7300,617,61,72,530.00,35,0.51,1
868,8317.99,18.07,515,973,7400,501,66,66,515.00,19,0.71,1
869,8639.35,17.99,280,634,7375,616,103,31,604.80,16,0.48,1
871,9629.12,22.99,297.37,945,5725,546,60,68,297.37,51,0.25,1
873,6573.69,19.99,419.52,53,12475,547,55,56,419.52,18,0.68,0
874,6896.84,20.99,260.68,0,13825,501,126,32,563.07,14,0.56,0
875,2586.88,16.98,478,18,8250,676,62,69,478.00,6,0.91,0
876,4050.83,20.38,515,0,7000,566,52,66,515.00,9,0.86,0
878,5638.35,23.99,470,2,6475,515,54,70,470.00,14,0.80,0
879,7347.45,17.01,515,83,8675,526,54,67,515.00,16,0.76,0
880,5298.1,23.96,505,1,5100,634,55,69,505.00,12,0.83,0
881,1076.4,23.95,515,0,6575,526,48,69,515.00,2,0.97,0
882,4598.14,20.32,500,67,7250,526,50,66,500.00,10,0.85,0
883,6608.02,18.6,311.23,0,11100,633,69,75,311.23,26,0.65,0
884,5096.07,18.23,405.88,0,10650,559,72,62,405.88,14,0.77,0
885,1257.55,20.3,485,0,7675,561,48,69,485.00,3,0.96,0
886,1053.7,20.37,485,0,7050,603,48,71,485.00,2,0.97,0
887,2106.53,23.97,515,83,4650,634,48,66,515.00,4,0.94,0
888,3798.5,23.91,510,0,6375,581,51,63,510.00,8,0.87,0
890,3409.27,16.94,455,0,6550,631,50,70,455.00,8,0.89,0
891,2228.09,17.03,514,0,9175,557,49,70,514.00,5,0.93,0
892,3488.12,20.36,516,0,7000,572,52,68,516.00,7,0.90,0
893,6381.76,20.38,515,26,6800,519,50,58,515.00,14,0.76,0
894,1670.39,23.94,533,0,8125,575,48,70,533.00,3,0.96,0
896,1715.5,24.99,176.89,0,4450,662,109,31,382.08,5,0.84,0
898,7531.16,25,235.33,0,5725,560,126,31,508.31,18,0.42,0
899,4093.43,22,224.55,2,5825,597,108,31,485.03,9,0.71,0
900,6094.23,27,272.84,237,6000,627,106,31,589.33,12,0.61,1
902,11574.77,21,572.27,0,12300,491,59,66,572.27,25,0.62,0
903,11203.62,20,543.14,11,11175,596,58,66,543.14,25,0.62,0
904,10283.59,20,539,5,8075,572,64,66,539.00,23,0.65,0
905,3567.46,23.9,599,0,10075,589,51,66,599.00,6,0.91,0
906,8012.16,19.9,666,11,10000,608,55,68,666.00,14,0.79,0
907,7152.56,16.99,247.97,0,14575,533,73,62,247.97,37,0.40,0
908,1724.53,17.78,250,0,8875,565,106,31,540.00,3,0.90,0
909,12783.67,19.63,325,5,16875,652,131,29,702.00,22,0.24,0
911,5986.87,16.94,220,0,10125,578,125,31,475.20,14,0.55,0
912,4131.12,20.07,200,0,8350,545,108,29,432.00,11,0.62,0
913,8691.33,19.71,350,0,6100,581,70,66,350.00,32,0.52,0
918,3801.32,17.78,225,16,7850,551,119,31,486.00,8,0.74,0
919,1729.02,20.34,250,0,11600,738,94,31,540.00,3,0.90,0
921,1207.08,20.68,225,26,7475,501,88,31,486.00,3,0.90,0
922,8862.8,17.42,460,0,10150,550,62,56,460.00,23,0.59,0
923,2970.8,18.7,250,0,8300,537,93,31,540.00,6,0.81,0
924,4674.24,22.52,272,12,12425,513,128,31,587.52,9,0.71,0
926,4748.8,22.51,460,0,10125,578,61,70,460.00,12,0.83,0
927,7718.52,18.74,398.72,33,14050,586,65,66,398.72,23,0.65,0
928,6423.06,25,347.45,0,8275,646,60,66,347.45,24,0.64,0
929,12570.72,19,503.86,14,14450,618,66,68,503.86,32,0.53,0
932,2425.99,18.5,379.79,0,7700,578,72,66,379.79,7,0.89,0
933,9834.26,18.26,331.97,348,6275,517,62,66,331.97,40,0.39,1
934,8812.17,22,223.33,5,8825,558,136,34,482.39,22,0.35,0
935,12198.87,24.99,199.11,563,8700,588,132,31,430.08,43,-0.39,1
936,20835.48,19.9,648.98,961,16800,584,66,66,648.98,46,0.30,1
937,7823.81,19.9,316.05,6,22250,539,130,34,682.67,13,0.62,0
938,11918.84,19.9,309.77,0,17775,609,146,34,669.10,21,0.38,0
939,4737.07,18.99,301.35,0,10675,514,53,68,301.35,18,0.74,0
940,11103.88,15,600,39,21450,498,64,54,600.00,21,0.61,0
941,2453.21,17.07,400,0,8575,655,47,68,400.00,6,0.91,0
944,2348.16,26.99,238.19,132,4000,642,86,28,514.49,5,0.82,0
945,6885.87,26.99,247.85,41,4100,657,113,31,535.36,15,0.52,0
948,5180.26,19.7,500,0,11525,651,50,66,500.00,11,0.83,0
